SL. No,Category,Type of Vehicle,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,Non-transport vehicles (private),Two Wheelers,14897759,16082941,17349311,18510282,19362961,20163255,21128404,22404763,23700297,24906863
2,Non-transport vehicles (private),Cars,3176936,3378183,3576304,3756733,3937889,4137587,4376585,4649983,4916769,4951154
3,Non-transport vehicles (private),Omni Buses,14768,14965,15541,16112,16520,16779,16880,17381,18185,67177
4,Non-transport vehicles (private),Tractors,481583,513792,551130,586969,631147,678968,730648,781046,831906,895609
5,Non-transport vehicles (private),Trailers,285950,300150,308865,321415,336333,352065,368002,381251,393086,410999
6,Non-transport vehicles (private),Construction Moving Equipment,1167,1394,2440,4816,7889,10514,13323,17812,22058,28209
7,Non-transport vehicles (private),Private Service Vehicle,510,522,859,1480,1577,1663,1742,2153,2260,3828
8,Non-transport vehicles (private),Other Vehicles,61575,71212,84699,92201,97559,103697,110349,116080,123626,134568
,Total Non-transport(private) vehicles (A),,18920248,20363159,21889149,23290008,24391875,25464528,26745933,28370469,30008187,31398407
9(a),Transport Vehicle,Multi Axled/Articulated Vehicle,16033,18162,19002,19456,19656,20047,20581,21402,22168,22664
9(b),Transport Vehicle,Trucks and Lorries,436038,448947,469081,485207,491633,505026,523810,543221,559862,569365
9,Total Transport Vehicles,,452071,467109,488083,504663,511289,525073,544391,564623,582030,592029
10(a),Light Goods vehicles,Four Wheeler,430011,461687,502899,543378,567418,599232,639873,685718,732074,809563
10(b),Light Goods vehicles,Three Wheeler,169231,177777,188223,197881,203118,209647,216533,225682,236587,241428
10,Total LGVs,,599242,639464,691122,741259,770536,808879,856406,911400,968661,1050991
11(a),Buses,Buses,232812,243373,254646,263099,263857,265396,270313,278812,289345,230818
11,Total Buses,,232812,243373,254646,263099,263857,265396,270313,278812,289345,230818
12(a),Taxies,Motor Cabs,267750,290250,313912,334484,338842,343327,357314,387770,420956,429633
12(b),Taxies,Maxi Cabs,103337,107073,111137,114989,115363,115715,117349,121705,124576,110859
12(c),Taxies,Others,22,22,27,305,305,305,305,305,305,41
12,Total Taxies,,371109,397345,425076,449778,454510,459347,474968,509780,545837,540533
13,LMV Passenger,Three Seater(A/R),608720,638898,682325,723957,732750,744541,769640,823757,885145,935015
14,LMV Passenger,Other Vehicles,86323,91763,111586,144850,149300,156688,167183,178697,192160,170896
,Total LMV Passenger,,695043,730661,793911,868807,882050,901229,936823,1002454,1077305,1105911
,TOTAL TRANSPORT(B),,2350277,2477952,2652838,2822606,2882242,2959924,3082901,3267069,3463178,3520282
,TOTAL (A)+(B),,21270525,22841111,24541987,26117614,27274117,28424452,29828834,31637538,33471365,34918689
